,reward
506,13.044035213122324
507,13.033354614069038
508,13.092907656595317
509,13.092766064167682
510,13.05209835370546
511,13.05013249878413
512,13.027980695837686
513,-0.42100202153976873
514,14.033975151400952
515,13.071163594450848
516,13.074539696377075
517,13.052905253505175
518,13.061297554261897
519,13.060231238284068
520,13.05531302013086
521,13.047421523407056
522,13.062882598234133
523,13.0461884155866
524,13.06997121797164
525,13.04902411482391
526,13.054228938539943
527,13.04632771992233
528,13.068177437369974
529,13.045369592170676
530,13.073079882148615
531,13.07958513145174
532,13.072838678766834
533,14.029321375768866
534,13.041488756700254
535,13.058195127843174
536,-0.4351264153464266
537,13.043109194413987
538,13.038495034761972
539,13.070431416376557
540,13.044830087478417
541,13.062269128037837
542,13.04730963974623
543,13.04983143107184
544,13.049444930605503
545,13.067874078737281
546,13.06964289698718
547,13.088422298617953
548,13.055544259488489
549,13.044959460277385
550,13.032716529191685
551,13.050277160042617
552,13.053419570861564
553,13.044771666119596
554,12.980091928153835
555,13.052480457740481
556,16.053401569583766
557,13.038449646297796
558,-0.3936041712366273
559,-0.7154184476130301
560,13.05955694389688
561,13.076790803411257
562,13.071123322854897
563,13.063086715139164
564,13.046102345165068
565,13.038604012990351
566,13.034866221729793
567,13.048273272597392
568,13.041141962984895
569,13.04102013247618
570,13.071726285815831
571,13.053402816161242
572,13.067779948421652
573,-0.4355889446609069
574,13.057431617085971
575,-0.8512879250834064
576,13.026478683188127
577,13.068233001663613
578,13.058935504287168
579,13.04666962410606
580,13.034086303264733
581,13.025996782221288
582,13.061146936262322
583,14.05057806953167
584,13.06745266558057
585,13.060541034240693
586,13.061366455050287
587,13.074590600328495
588,13.065561066481697
589,13.061730186945486
590,13.064439618293825
591,13.06644269988903
592,13.068023258328964
593,13.03943426872511
594,13.095337186624285
595,13.059070826183785
596,13.07732880596192
597,13.067604052959311
598,13.060335792245631
599,13.067048811200621
600,13.060060104643352
601,13.082211602794533
602,-0.9846727536970805
603,13.063226034333296
604,13.066791036742492
605,13.063857944637462
606,13.049260881210948
607,13.033046711796331
608,13.053921996424874
609,0.014028280496441115
610,13.050476047732046
611,13.065965485072482
612,13.066807868191145
613,13.064800369442963
614,13.05524985557237
615,13.042772045475129
616,13.055752692122098
617,13.039820642955998
618,13.041923545497193
619,13.040832701281158
620,13.055592004614732
621,13.076087495891038
622,13.044939575009517
623,13.049824459379453
624,13.053714819709505
625,13.037266520250906
626,13.078514439136354
627,13.056442946387243
628,13.034132096935359
629,13.042271367707457
630,13.09097149618835
631,13.065872298711994
632,13.05324446561616
633,13.089409162823902
634,13.045222349649823
635,13.058145110919464
636,13.057754669223943
637,13.046803195568769
638,13.092526727322728
639,13.054693706476794
640,13.082186543404173
641,13.076148331145639
642,13.052844035440943
643,13.07514273769556
644,13.075925300116957
645,13.049246440793734
646,13.045163811349697
647,-0.26087280956562087
648,13.060425987416789
649,13.05728260329596
650,-0.3641923613651692
651,13.053229112969207
652,13.061907100865707
653,13.05775846842609
654,13.066676884506007
655,13.095011086618271
656,13.04049315278824
657,13.034091406410703
658,13.052804175568724
659,13.088457234682991
660,13.093461231114548
661,13.068438131858354
662,14.074588119015523
663,13.074324465915236
664,13.085525949581541
665,13.06233620455997
666,13.082835821125421
667,-0.9317288636362273
668,13.073584110275409
669,-0.43423817013821986
670,13.057223161857996
671,13.043524795433587
672,13.073579946342406
673,13.057767031773306
674,13.072718232532889
675,13.041971125236234
676,13.065894129321379
677,13.05993804118876
678,13.062009083487176
679,13.080791529993778
680,13.046005103150982
681,13.086189323902376
682,13.075929390033647
683,13.065357190162308
684,14.001966962819463
685,13.053504620764778
686,13.087141560921697
687,13.039281581007444
688,13.051122172908071
689,13.055195103433691
690,13.076327753771153
691,13.075663859585188
692,13.09032488832461
693,13.061853200789258
694,13.037602321066114
695,13.074868316318973
696,13.08772992071265
697,13.044699197919968
698,13.05245656374214
699,13.08259848126577
700,13.082621497655737
701,13.079240154931973
702,13.038048531307215
703,13.064588298843319
704,13.090159537993054
705,13.08831280458055
706,13.092913139605434
707,13.044340972944502
708,13.066252994133876
709,13.073250174087596
710,13.052555807448481
711,13.071564329617757
712,13.080149796909236
713,13.05674516989445
714,13.086180732599983
715,13.064837549212404
716,13.091025666385097
717,13.094702236214793
718,13.065556676435127
719,13.086371459596656
720,13.073390936134473
721,13.067972735484382
722,13.07472208920834
723,13.083143070072847
724,13.06661717824105
725,13.071624937829984
726,-0.45145096026851284
727,13.070115276975702
728,13.019301783510016
729,13.077140055565769
730,13.07220878563465
731,14.054434484074763
732,13.042164704728698
733,13.066766445107046
734,13.041996245496001
735,14.060030064043438
736,13.052196295256987
737,13.070204831242437
738,13.059438169120773
739,13.053758783739188
740,13.062224168709015
741,13.080619044650856
742,13.049666909051144
743,13.061882421773388
744,13.041986170928919
745,13.080059900624754
746,13.05329935585984
747,13.054752325391837
748,-0.43566293720292526
749,13.056075066038712
750,13.089643643502866
751,13.082019185231934
752,13.054864342035263
753,13.060167466076479
754,-0.14169899730114732
755,-0.8105964040639375
756,13.077919944746668
757,13.047648853040418
758,-0.022829212269057764
759,13.080969885990086
760,13.042117126356956
761,-0.05678838187688018
762,13.074531023067033
763,13.05101739371181
764,13.064245409869645
765,13.042830506235692
766,13.058373209275574
767,13.073734166881849
768,-0.6735094730295641
769,13.091827426280465
770,13.048373741873558
771,13.040468514304898
772,13.051682755855428
773,13.09326330805997
774,13.068783911917517
775,13.051959646584027
776,13.080822446288138
777,13.104440817762441
778,13.084614606553991
